callback("Day,Total,BDO-AYALA,BDO-QP1,BDO-QP2,BPI,BPI-MT,CASH,CB,EWB,MB,
2014-01-01,"126,100.00","6,500.00",0.00,"108,000.00",0.00,"11,600.00",0.00,0.00,0.00,0.00,
2014-01-02,"16,663,268.24",0.00,0.00,"15,923,546.03",0.00,"677,283.68","4,229.18","25,112.59",0.00,"33,096.76",
2014-01-03,"18,291,122.85",0.00,0.00,"17,901,113.82",0.00,"104,447.34","281,151.69","4,410.00",0.00,0.00,
2014-01-04,"11,797,491.17",0.00,0.00,"11,745,986.17",0.00,"43,800.00","7,705.00",0.00,0.00,0.00,
2014-01-05,"279,727.00",0.00,0.00,"279,727.00",0.00,0.00,0.00,0.00,0.00,0.00,
2014-01-06,"11,775,067.90",0.00,0.00,"7,179,883.53",0.00,"2,407,000.00","1,688,184.37",0.00,"500,000.00",0.00,
2014-01-07,"20,442,104.03",0.00,0.00,"18,677,736.73","300,000.00","839,863.00","20,808.60","103,695.70","500,000.00",0.00,
2014-01-08,"18,956,152.36",0.00,0.00,"16,549,038.36",0.00,"1,823,750.00","83,364.00",0.00,"500,000.00",0.00,
2014-01-09,"17,674,409.41",0.00,0.00,"17,645,894.43",0.00,"17,724.98","10,790.00",0.00,0.00,0.00,
2014-01-10,"19,592,135.91",0.00,0.00,"18,090,885.66",0.00,"1,489,693.98","11,556.27",0.00,0.00,0.00,
2014-01-11,"11,386,685.90",0.00,0.00,"11,166,239.65",0.00,"195,000.00","16,656.00","8,790.25",0.00,0.00,
2014-01-12,,,,,,,,,,,
2014-01-13,"8,991,190.88",0.00,0.00,"8,333,909.45","300,000.00","341,901.30","6,560.13","8,820.00",0.00,0.00,
2014-01-14,"20,061,758.89",0.00,0.00,"19,444,581.29",0.00,"596,532.60","20,645.00",0.00,0.00,0.00,
2014-01-15,"18,902,570.46","33,400.00",0.00,"17,919,669.49",0.00,"688,894.03","18,943.20","126,305.85",0.00,"115,357.89",
2014-01-16,"21,653,594.19",0.00,0.00,"18,849,501.19",0.00,"2,800,000.00","4,093.00",0.00,0.00,0.00,
2014-01-17,"21,865,537.30",0.00,0.00,"21,207,912.19",0.00,"508,989.87","4,715.00",0.00,0.00,"143,920.24",
2014-01-18,"11,109,031.27",0.00,0.00,"8,604,621.27",0.00,"1,695,000.00","23,490.00","88,920.00",0.00,"697,000.00",
2014-01-19,"2,051,812.50",0.00,0.00,"1,515,000.00",0.00,"536,812.50",0.00,0.00,0.00,0.00,
2014-01-20,"16,272,222.86",0.00,0.00,"12,945,098.88","661,161.31","1,037,399.00","1,628,563.67",0.00,0.00,0.00,
2014-01-21,"22,052,615.59",0.00,0.00,"19,695,045.38",0.00,"1,709,895.75","385,127.33","131,564.71",0.00,"130,982.42",
2014-01-22,"19,306,757.01",0.00,0.00,"17,474,407.77",0.00,"1,711,244.45","13,124.79","107,980.00",0.00,0.00,
2014-01-23,"19,941,983.24",0.00,0.00,"17,371,124.06","424,559.98","1,186,284.20","461,585.00","498,430.00",0.00,0.00,
2014-01-24,"16,952,854.72","266,879.80","11,700.00","16,546,059.13",0.00,990.08,"127,225.71",0.00,0.00,0.00,
2014-01-25,"10,365,475.03",0.00,0.00,"10,056,467.03",0.00,"105,000.00","8,470.00","195,538.00",0.00,0.00,
2014-01-26,,,,,,,,,,,
2014-01-27,"21,234,821.96",0.00,0.00,"19,853,851.96",0.00,"1,374,125.00","6,845.00",0.00,0.00,0.00,
2014-01-28,"20,524,727.86",0.00,0.00,"18,685,218.25",0.00,"1,357,516.92","23,465.82","200,744.57",0.00,"257,782.30",
2014-01-29,"21,513,736.09",0.00,0.00,"20,686,712.42",0.00,"428,215.52","298,808.15","100,000.00",0.00,0.00,
2014-01-30,"22,696,625.80",0.00,0.00,"21,894,053.24",0.00,"413,181.25","389,391.31",0.00,0.00,0.00,
2014-01-31,"21,660,296.87",0.00,0.00,"21,013,718.12",0.00,"500,000.00","146,578.75",0.00,0.00,0.00,
2014-02-01,"11,645,118.29","6,500.00",0.00,"11,507,018.29",0.00,"131,600.00",0.00,0.00,0.00,0.00,0.00
2014-02-02,"6,930.00",0.00,0.00,0.00,0.00,0.00,0.00,"6,930.00",0.00,0.00,0.00
2014-02-03,"15,300,346.89",0.00,0.00,"13,906,309.51",0.00,"1,359,218.38","34,819.00",0.00,0.00,0.00,0.00
2014-02-04,"17,182,231.29",0.00,0.00,"16,277,303.04",0.00,"900,000.00","4,928.25",0.00,0.00,0.00,0.00
2014-02-05,"19,241,493.17",0.00,0.00,"17,858,062.02",0.00,"712,331.59","443,097.00","92,580.92",0.00,0.00,"135,421.64"
2014-02-06,"18,876,704.79",0.00,0.00,"17,434,523.49",0.00,"1,422,467.58","19,713.72",0.00,0.00,0.00,0.00
2014-02-07,"19,074,171.75",0.00,0.00,"16,997,278.85","248,388.05","669,375.00","359,129.85","400,000.00",0.00,0.00,"400,000.00"
2014-02-08,"18,121,076.20",0.00,0.00,"17,745,109.20",0.00,"141,000.00","46,167.00","188,800.00",0.00,0.00,0.00
2014-02-09,"5,000.00",0.00,0.00,0.00,0.00,"5,000.00",0.00,0.00,0.00,0.00,0.00
2014-02-10,"18,711,362.16",0.00,0.00,"17,801,343.67","428,215.52","253,678.55","228,124.42",0.00,0.00,0.00,0.00
2014-02-11,"22,007,962.53",0.00,0.00,"20,576,442.72",0.00,"841,734.86","3,136.95","390,093.41",0.00,"114,835.50","81,719.09"
2014-02-12,"21,492,939.56",0.00,0.00,"20,557,811.64",0.00,"443,485.75","76,323.00","415,319.17",0.00,0.00,0.00
2014-02-13,"19,289,157.09",0.00,"26,689.88","18,824,667.21",0.00,"37,800.00",0.00,0.00,0.00,0.00,"400,000.00"
2014-02-14,"22,131,571.22",0.00,0.00,"19,358,364.22",0.00,"500,000.00","2,111,407.00","161,800.00",0.00,0.00,0.00
2014-02-15,"8,433,294.99","33,400.00",0.00,"8,193,382.99","12,000.00","145,500.00","1,807.00","35,495.00",0.00,0.00,"11,710.00"
2014-02-16,,,,,,,,,,,
2014-02-17,"16,738,964.30",0.00,0.00,"16,550,501.87","48,000.00","101,756.28","10,976.15","27,730.00",0.00,0.00,0.00
2014-02-18,"18,676,455.55",0.00,0.00,"17,684,038.90",0.00,"874,340.19","77,276.46","40,800.00",0.00,0.00,0.00
